Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000321	2	2	2	3	1	4	core
OG0000322	2	2	2	3	1	4	core
OG0000323	2	2	2	3	1	4	core
OG0000324	2	2	2	3	1	4	core
OG0000325	2	2	2	2	2	4	core
OG0000326	2	2	2	2	2	4	core
OG0000327	2	2	2	2	2	4	core
OG0000328	2	2	2	2	2	4	core
OG0000329	2	2	2	4	0	4	core
OG0000330	2	2	2	3	1	4	core
OG0000331	2	1	2	3	2	4	core
OG0000332	2	2	2	3	1	4	core
OG0000333	2	2	2	3	1	4	core
OG0000334	2	2	1	1	4	4	core
OG0000335	2	2	2	2	2	4	core
OG0000336	2	2	2	3	1	4	core
OG0000337	2	2	1	4	1	4	core
OG0000338	2	3	1	3	1	4	core
OG0000339	2	2	2	2	2	4	core
OG0000340	2	2	2	2	2	4	core
OG0000341	2	2	3	2	1	4	core
OG0000342	2	2	2	2	2	4	core
OG0000343	2	2	2	2	2	4	core
OG0000344	2	2	2	2	2	4	core
OG0000345	2	2	2	2	2	4	core
OG0000346	3	1	2	3	1	4	core
OG0000347	2	2	2	3	1	4	core
OG0000348	2	3	1	3	1	4	core
OG0000349	2	2	2	2	2	4	core
OG0000350	2	2	2	2	2	4	core
OG0000351	2	2	2	3	1	4	core
OG0000352	3	2	2	3	0	4	core
OG0000353	2	2	2	3	1	4	core
OG0000354	2	2	2	2	2	4	core
OG0000355	3	2	1	3	1	4	core
OG0000356	2	2	2	2	2	4	core
OG0000357	2	2	2	3	1	4	core
OG0000358	3	1	3	2	1	4	core
OG0000359	1	3	1	5	0	4	core
OG0000360	2	2	2	2	2	4	core
OG0000361	3	0	3	3	1	3	shell
OG0000362	2	1	3	3	1	4	core
OG0000363	2	2	2	2	2	4	core
OG0000364	2	2	2	3	1	4	core
OG0000365	2	4	0	2	2	3	shell
OG0000366	2	1	2	4	1	4	core
OG0000367	3	2	4	0	1	3	shell
OG0000368	2	3	2	2	1	4	core
OG0000369	2	2	2	2	2	4	core
OG0000370	2	2	2	2	2	4	core
OG0000371	2	1	3	4	0	4	core
OG0000372	2	1	6	1	0	4	core
OG0000373	2	2	2	3	1	4	core
OG0000374	3	2	2	2	1	4	core
OG0000375	2	2	2	2	2	4	core
OG0000376	1	3	2	0	4	3	shell
OG0000377	2	2	3	3	0	4	core
OG0000378	2	2	2	3	1	4	core
OG0000379	1	3	3	3	0	4	core
OG0000380	2	2	2	2	2	4	core
OG0000381	2	1	2	4	1	4	core
OG0000382	2	2	2	2	2	4	core
OG0000383	2	2	2	2	2	4	core
OG0000384	2	2	2	3	1	4	core
OG0000385	1	2	3	3	1	4	core
OG0000386	3	1	2	3	1	4	core
OG0000387	2	2	2	3	1	4	core
OG0000388	2	2	2	2	2	4	core
OG0000389	2	2	2	3	1	4	core
OG0000390	2	3	2	3	0	4	core
OG0000391	2	2	2	2	2	4	core
OG0000392	2	1	3	3	1	4	core
OG0000393	2	2	2	2	2	4	core
OG0000394	2	2	2	2	2	4	core
OG0000395	2	2	2	2	2	4	core
OG0000396	2	2	2	2	2	4	core
OG0000397	2	3	2	3	0	4	core
OG0000398	2	2	2	4	0	4	core
OG0000399	0	2	0	8	0	2	shell
OG0000400	0	2	3	3	2	3	shell
OG0000401	2	2	2	3	0	4	core
OG0000402	2	2	2	2	1	4	core
OG0000403	2	2	2	2	1	4	core
OG0000404	2	2	2	2	1	4	core
OG0000405	1	2	1	3	2	4	core
OG0000406	2	2	1	3	1	4	core
OG0000407	2	2	2	2	1	4	core
OG0000408	2	2	2	2	1	4	core
OG0000409	3	0	2	2	2	3	shell
OG0000410	1	1	1	5	1	4	core
OG0000411	2	2	2	2	1	4	core
OG0000412	2	2	2	2	1	4	core
OG0000413	2	2	1	3	1	4	core
OG0000414	2	2	2	2	1	4	core
OG0000415	2	2	2	2	1	4	core
OG0000416	2	2	2	2	1	4	core
OG0000417	1	2	2	2	2	4	core
OG0000418	2	2	1	3	1	4	core
OG0000419	2	2	1	3	1	4	core
OG0000420	2	2	2	2	1	4	core
OG0000421	1	2	2	2	2	4	core
OG0000422	2	2	2	2	1	4	core
OG0000423	2	2	2	2	1	4	core
OG0000424	2	2	2	2	1	4	core
OG0000425	2	3	0	3	1	3	shell
OG0000426	0	2	4	2	1	3	shell
OG0000427	2	2	2	2	1	4	core
OG0000428	2	2	2	2	1	4	core
